Postal Code,Borough,Neighborhood,Latitude,Longitude,Population,Median Household Income,Cafe Counts,Cafe Names
M1B,Scarborough,Malvern / Rouge,43.8113,-79.193,65555.0,69126.0,0,
M1C,Scarborough,Rouge Hill / Port Union / Highland Creek,43.7878,-79.1564,35642.0,109785.0,0,
M1E,Scarborough,Guildwood / Morningside / West Hill,43.7678,-79.1866,48033.0,62047.0,4,"Tim Hortons, Eggsmart, McDonald's, Mr. Puffs"
M1G,Scarborough,Woburn,43.7712,-79.2144,30894.0,54450.0,0,
M1H,Scarborough,Cedarbrae,43.7686,-79.2389,23964.0,58492.0,0,
M1J,Scarborough,Scarborough Village,43.7464,-79.2323,37002.0,54507.0,0,
M1K,Scarborough,Kennedy Park / Ionview / East Birchmount Park,43.7298,-79.2639,48175.0,53260.0,1,Tim Hortons
M1L,Scarborough,Golden Mile / Clairlea / Oakridge,43.7122,-79.2843,35833.0,56779.0,2,"Tim Hortons, Tim Hortons"
M1M,Scarborough,Cliffside / Cliffcrest / Scarborough Village West,43.7247,-79.2312,23258.0,68550.0,1,Tim Hortons
M1N,Scarborough,Birch Cliff / Cliffside West,43.6952,-79.2646,22976.0,73256.0,2,"The Birchcliff, City Cottage Market"
M1P,Scarborough,Dorset Park / Wexford Heights / Scarborough Town Centre,43.7612,-79.2707,45170.0,56661.0,1,The Beverage Company
M1R,Scarborough,Wexford / Maryvale,43.7507,-79.3003,30467.0,60881.0,0,
M1S,Scarborough,Agincourt,43.7946,-79.2644,37663.0,63376.0,0,
M1T,Scarborough,Clarks Corners / Tam O'Shanter / Sullivan,43.7812,-79.3036,34607.0,53535.0,1,Tim Hortons
M1V,Scarborough,Milliken / Agincourt North / Steeles East / L'Amoreaux East,43.8177,-79.2819,50825.0,64576.0,0,
M1W,Scarborough,Steeles West / L'Amoreaux West,43.8016,-79.3216,47070.0,65190.0,1,Tim Hortons
M1X,Scarborough,Upper Rouge,43.834,-79.2069,14810.0,96107.0,0,
M2H,North York,Hillcrest Village,43.8015,-79.3577,23396.0,72220.0,0,
M2J,North York,Fairview / Henry Farm / Oriole,43.7801,-79.3479,61761.0,63471.0,9,"Tim Hortons, McDonald's, Starbucks, Fuwa Fuwa Dessert Cafe, COTTI COFFEE, Fairview mall, Green coffee cafe, Tarts Treats And Coffee, Swift Cafe"
M2K,North York,Bayview Village,43.7797,-79.3813,25377.0,68015.0,0,
M2L,North York,York Mills / Silver Hills,43.7547,-79.3764,11274.0,115493.0,0,
M2M,North York,Willowdale / Newtonbrook,43.7915,-79.4103,31915.0,60440.0,0,
M2N,North York,Willowdale,43.7673,-79.4111,75100.0,62919.0,15,"Druxy's Famous Deli, Tim Hortons, Starbucks, Aroma Espresso Bar, Second Cup Café, Tim Hortons, Saryo cafe, Yonge Cafe and Bistro, La Prep, Twilight Cafe & Bar (North York), Cafe Inside, Centre Cafe, Bake Code, A Corner Cafe, Kung Fu Tea on Yonge (North York)"
M2P,North York,York Mills West,43.75,-79.3978,7546.0,107520.0,0,
M2R,North York,Willowdale,43.7786,-79.445,40581.0,56027.0,1,Tim Hortons
M3A,North York,Parkwoods,43.7545,-79.33,34361.0,64761.0,0,
M3B,North York,Don Mills,43.745,-79.359,12880.0,108267.0,0,
M3C,North York,Don Mills,43.7334,-79.3329,39616.0,57275.0,1,DeliMark Café
M3H,North York,Bathurst Manor / Wilson Heights / Downsview North,43.7535,-79.4472,38416.0,71558.0,1,Tim Hortons
M3J,North York,Northwood Park / York University,43.7694,-79.4921,26600.0,54031.0,1,RC Coffee Robo Cafe
M3K,North York,Downsview,43.739,-79.4692,7865.0,62635.0,0,
M3L,North York,Downsview,43.7334,-79.5116,19263.0,59669.0,0,
M3M,North York,Downsview,43.7319,-79.4928,24906.0,55099.0,0,
M3N,North York,Downsview,43.7568,-79.521,40846.0,47650.0,6,"Tim Hortons, Soobrian cafe, Tim Hortons, Tim Hortons, East West Cafe, Before the Dawn"
M4A,North York,Victoria Village,43.7276,-79.3148,14589.0,54905.0,2,"Tim Hortons, Tim Hortons"
M4B,East York,Parkview Hill / Woodbine Gardens,43.7063,-79.3094,18612.0,60749.0,4,"Nostalgia Coffee Company, Tea Room, Cozy Café & Shop, Arto Café"
M4C,East York,Woodbine Heights,43.6913,-79.3116,46440.0,60646.0,1,Old's Cool General Store
M4E,East Toronto,The Beaches,43.6784,-79.2941,25473.0,94587.0,3,"Tim Hortons, Black Dog Cafe, The Black Canary Espresso Bar (Kingston Road)"
M4G,East York,Leaside,43.7124,-79.3644,19598.0,115833.0,4,"Starbucks, Tim Hortons, Charmaine Sweets, ÜNI Learn Play Café"
M4H,East York,Thorncliffe Park,43.7059,-79.3464,18698.0,43945.0,3,"Tim Hortons, Thorncliffe Park Cafe, Common Ground Market and Café"
M4J,East York East Toronto,The Danforth East,43.6872,-79.3368,35128.0,72720.0,0,
M4K,East Toronto,The Danforth West / Riverdale,43.6803,-79.3538,30913.0,65948.0,13,"Demetres Danforth, Broadview Espresso, Second Cup Café, The big carrot organic and coffee bar, SUPERNOVA Coffee, Trinacria Espresso Italiano, Cafe Open Window, Tim Hortons, 1 Gram By Primo, BOK Play Cafe, Lukumum, GelaTeo Cafe, Kitchenette Toronto"
M4L,East Toronto,India Bazaar / The Beaches West,43.6693,-79.3155,32218.0,81014.0,5,"Country Style, Simple Coffee, The Sunset Market Place, Cafe WR, Stop 55 Variety. Beverly's Coffee"
M4M,East Toronto,Studio District,43.6561,-79.3406,25052.0,75412.0,1,Tim Hortons
M4N,Central Toronto,Lawrence Park,43.7301,-79.3935,16058.0,137758.0,0,
M4P,Central Toronto,Davisville North,43.7135,-79.3887,25057.0,61036.0,1,L'amour Cafe & Pastry
M4R,Central Toronto,North Toronto West,43.7143,-79.4065,11909.0,94208.0,0,
M4S,Central Toronto,Davisville,43.702,-79.3853,30754.0,75520.0,4,"Jules Cafe Patisserie, Tim Hortons, Daphne's Antioch, Thobors Bakery"
M4T,Central Toronto,Moore Park / Summerhill East,43.6899,-79.3853,10332.0,96571.0,0,
M4V,Central Toronto,Summerhill West / Rathnelly / South Hill / Forest Hill SE / Deer Park,43.6861,-79.4025,19273.0,85487.0,3,"Starbucks, South Hill Market, Tim Hortons"
M4W,Downtown Toronto,Rosedale,43.6827,-79.373,15296.0,101146.0,0,
M4X,Downtown Toronto,St. James Town / Cabbagetown,43.6684,-79.3689,19896.0,40291.0,7,"JetFuel Coffee Shop, Park Snacks, Tim Hortons, Country Style, Playground Cafe, Kava Coffee House, Tim Hortons"
M4Y,Downtown Toronto,Church and Wellesley,43.6656,-79.383,36319.0,52167.0,37,"7 West Cafe, McDonald's, Tim Hortons, McDonald's, Tim Hortons, McDonald's, Glad Day Bookshop, Tim Hortons, Piedmont Coffee Bar, Church Street Espresso, Coffee Island, Tim Hortons, Second Cup Café, Starbucks, Black Bear Espresso, Good Earth Coffeehouse - Yonge & Wellesley, Bloom Cafe, 17 Tiles Board Games and Mahjong Café 十七雀, NEO COFFEE BAR YONGE X GLOUCESTER, Bake Code Croissanterie, The Alley, Nabulu Coffee, Kewin Cafe, Cafe Our Hours, Chapayom Canada, zagmachi, Togo Cafe, The Oats Kafe, Scarlet Door Café, Crows Nest Cafe, Second Cup Café, Au Pain Doré Bakery, Blake Brown Café, The Croissant Tree, MATCHA MATCHA, Starbucks, Ram’s Café at the Mattamy Athletic Centre"
M5A,Downtown Toronto,Regent Park / Harbourfront,43.6555,-79.3626,48978.0,52623.0,10,"Sumach Espresso, Figs Breakfast Lunch, Rooster Coffee House, Starbucks, Mos Mos Coffee, Mercury Espresso, Buvette Pacey, Terroni Sud Forno Produzione e Spaccio (Spaccio East), FORNO CULTURA 507 KING EAST, Impact Kitchen"
M5B,Downtown Toronto,"Garden District, Ryerson",43.6572,-79.3783,17422.0,49856.0,60,"Tim Hortons, Balzac's Image Arts, Eggsmart, Starbucks, Tim Hortons, Starbucks, Starbucks, Mast Coffee, McDonald's, McDonald's, Starbucks, Marketeria, Tim Hortons, Starbucks, Second Cup Café, Aroma Espresso Bar, Tim Hortons, Oakham Cafe, Tim Hortons, Page One Coffee + Bar, Twilight Cafe & Bar DT (Dundas), Library Coffee Kiosk, Shisha & Karaoke Lounge, Avenue Cafe + Bistro, The Anarchist, Cong Caphe (Downtown Toronto), Artly Coffee, Starbucks, Tim Hortons, Starbucks, Tim Hortons, 18feet Espresso Bar & The Cheong, Adarnagatt, Pinochio Cafe & Board Games, Tim Hortons, Tonic Bar, Gong Cha - Toronto Eaton Centre, Sweat and Tonic, COTTI COFFEE, PASHA SHISHA LOUNGE, Trinity Square Cafe, Starbucks, Fusettes, Chelsea Patio, 10 DEAN | Elm, Artventures Toronto, Reply, Le Génie Bakery & Espresso, Bulldog Coffee, % Arabica Toronto Eaton Centre, Esra's, Columbus Café EATON CENTRE, Second Cup Café, Cafe Numbah Wan, Starbucks, Caffe'in, Hailed Coffee - College Park, Mos Mos Coffee & Cookie Shop, Coffee shop, Holapa Cafe Bistro"
