Postal Code,Latitude,Longitude,Place Type,Place Name
M5G,43.6561,-79.3802,locality,Toronto
M5G,43.6561,-79.3802,lodging,Pantages Hotel Downtown Toronto
M5G,43.6561,-79.3802,lodging,Marriott Downtown at CF Toronto Eaton Centre
M5G,43.6561,-79.3802,lodging,"Chelsea Hotel, Toronto"
M5G,43.6561,-79.3802,shopping_mall,CF Toronto Eaton Centre
M5G,43.6561,-79.3802,university,Chestnut Residence
M5G,43.6561,-79.3802,university,Toronto Metropolitan University
M5G,43.6561,-79.3802,library,Toronto Metropolitan University Libraries
M5G,43.6561,-79.3802,electronics_store,Best Buy
M5G,43.6561,-79.3802,clothing_store,Urban Outfitters
M5G,43.6561,-79.3802,clothing_store,Stag Shop - Adult Sex Store
M5G,43.6561,-79.3802,restaurant,Adega Restaurante
M5G,43.6561,-79.3802,restaurant,The Senator
M5G,43.6561,-79.3802,restaurant,Donatello Restaurant
M5G,43.6561,-79.3802,meal_delivery,Salad King
M5G,43.6561,-79.3802,bank,CIBC Branch with ATM
M5G,43.6561,-79.3802,department_store,Canadian Tire
M5G,43.6561,-79.3802,liquor_store,LCBO
M5G,43.6561,-79.3802,point_of_interest,Yonge-Dundas Square
M5G,43.6561,-79.3802,neighborhood,Downtown Toronto
M5G,43.6561,-79.3802,hospital,Patient Networks Family Medicine Walk In Clinic
M5G,43.6561,-79.3802,spa,Elmwood Spa
M5G,43.6561,-79.3802,point_of_interest,Massey Hall
M5G,43.6561,-79.3802,electronics_store,Apple Eaton Centre
M5G,43.6561,-79.3802,finance,Calforex Currency Exchange-Toronto Downtown
M5G,43.6561,-79.3802,point_of_interest,The UPS Store
M5G,43.6561,-79.3802,electronics_store,chatr Mobile
M5G,43.6561,-79.3802,health,Terminal Barber Shop
M5G,43.6561,-79.3802,lodging,Canada Suites
M5G,43.6561,-79.3802,bar,3 Brasseurs - Toronto
M5G,43.6561,-79.3802,point_of_interest,Elgin & Winter Garden Theatres
M5G,43.6561,-79.3802,point_of_interest,Ontario Municipal Board
M5G,43.6561,-79.3802,lodging,DoubleTree by Hilton Hotel Toronto Downtown
M5G,43.6561,-79.3802,bar,The Queen & Beaver Public House
M5G,43.6561,-79.3802,lodging,Toronto Furnished Living-Gerard
M5G,43.6561,-79.3802,bar,Barberian's Steak House
M5G,43.6561,-79.3802,cafe,Tim Hortons
M5G,43.6561,-79.3802,city_hall,Toronto City Hall
M5G,43.6561,-79.3802,restaurant,Popeyes Louisiana Kitchen
M5G,43.6561,-79.3802,gym,GoodLife Fitness Toronto Bell Trinity Centre
M5G,43.6561,-79.3802,restaurant,Bangkok Garden
M5G,43.6561,-79.3802,supermarket,Metro
M5G,43.6561,-79.3802,department_store,Hudson's Bay
M5G,43.6561,-79.3802,jewelry_store,Diamonds For Less
M5G,43.6561,-79.3802,electronics_store,Best Buy Express
M5G,43.6561,-79.3802,restaurant,Chipotle Mexican Grill
M5G,43.6561,-79.3802,library,Toronto Public Library - City Hall Branch
M5G,43.6561,-79.3802,point_of_interest,Covenant House Toronto
M5G,43.6561,-79.3802,meal_takeaway,Yueh Tung Restaurant
M5G,43.6561,-79.3802,restaurant,Kyoto House
M5G,43.6561,-79.3802,restaurant,Trattoria Mercatto
M5G,43.6561,-79.3802,veterinary_care,The Animal Clinic
M5G,43.6561,-79.3802,point_of_interest,CAA Ed Mirvish Theatre
M5G,43.6561,-79.3802,restaurant,Hokkaido Ramen Santouka
M5G,43.6561,-79.3802,bicycle_store,Sport Chek
M5G,43.6561,-79.3802,department_store,HomeSense
M5G,43.6561,-79.3802,city_hall,Toronto Old City Hall
M5G,43.6561,-79.3802,point_of_interest,Club Zanzibar
M5G,43.6561,-79.3802,tourist_attraction,Nathan Phillips Square
M5G,43.6561,-79.3802,bar,KINKA IZAKAYA ORIGINAL
